dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D2,262.0,250.0,290.0,250.0,29,मला सणासाठी कमी मुदतीचे कर्ज कोठे मिळेल ?,कोठे मिळेल?,[INS: मला सणासाठी कमी मुदतीचे कर्ज],d2.csv
D2,260.26,250.0,284.21,250.0,49,ट्रॅव्हल चेक पर्यटन कार्यालयना संगे संबंधित शे जे पर्यटन शहरेसमा रास,पर्यटन शहरे आहेत का,[INS: ट्रॅव्हल चेक] [INS: कार्यालयना संगे संबंधित शे जे] [पर्यटन शहरेसमा रास → शहरे आहेत का],d2.csv
D2,177.5,200.0,125.0,200.0,31,एखांदाना मोबाइलमा गुगल पे नशी ते क्यु आर कोड स्कॅन करीन पैसा धाडता येतस,एका माणसाला गुगलवरून पैसे काढता येतात का?,[INS: एखांदाना मोबाइलमा गुगल पे नशी ते क्यु] [आर कोड स्कॅन करीन पैसा धाडता येतस → एका माणसाला गुगलवरून पैसे काढता येतात का],d2.csv
D2,175.18,214.29,83.93,214.29,27,समुद्रना शेवाळ ना वावर मा शेवाळ ले तेन जीवन चक्र नियंत्रित करी टाकणस हाई तेनमा राहस,"समुद्राच्या लाटांवरूनच जीवनचक्र नियंत्रित होते, असे वाटते.",[INS: समुद्रना शेवाळ ना वावर मा शेवाळ ले] [तेन जीवन चक्र → समुद्राच्या लाटांवरूनच जीवनचक्र] [INS: करी टाकणस] [हाई तेनमा राहस → होते असे वाटते],d2.csv
D2,172.4,200.0,108.0,200.0,21,करनी चोरी करान सरकार भी नजर म्हा गुन्हा समजावस,सरकारला माझा गुन्हा समजतो.,[INS: करनी चोरी करान सरकार भी] [नजर म्हा → सरकारला माझा] [समजावस → समजतो],d2.csv
D2,162.43,180.0,121.43,180.0,20,यवहार खातामझारथून तुमी जडे नै तठे पैसा धाडू शकतस,तुम्ही यातून पैसे मिळवू शकता,[INS: यवहार खातामझारथून तुमी जडे] [नै तठे पैसा धाडू शकतस → तुम्ही यातून पैसे मिळवू शकता],d2.csv
D2,153.15,166.67,121.62,166.67,35,भारत मा तयार व्हनाऱ्या वस्तूस ना करता सोता भारतच एक महत्वानी बाजारपेठ शे,भारत स्वतः एक महत्त्वाची बाजारपेठ आहे.,[INS: मा तयार व्हनाऱ्या वस्तूस ना करता सोता] [भारतच → स्वतः] [महत्वानी → महत्त्वाची] [शे → आहे],d2.csv
D2,152.5,175.0,100.0,175.0,11,हाइड्रोपोनिक्सना वापर करिसन राजू टमाटरनं पीक लेस,राजूचे टोमॅटो हाइड्रोपोनिक्सने पिकवले,[INS: हाइड्रोपोनिक्सना वापर करिसन] [राजू टमाटरनं पीक लेस → राजूचे टोमॅटो हाइड्रोपोनिक्सने पिकवले],d2.csv
D2,152.05,180.0,86.84,180.0,16,छुटकी नी तिन्हा बापले किफायती दुकान ना बारा म्हा विचार,बारासाठी किफायती दुकानाबद्दल विचार आहे,[INS: छुटकी नी तिन्हा] [बापले → बारासाठी] [INS: दुकान ना बारा] [म्हा → दुकानाबद्दल] [DEL: आहे],d2.csv
D2,149.5,175.0,90.0,175.0,9,संदर्भ दरना बारामा रामकुमारनी त्याना पोरसले सांगं,रामकुमाराला त्याच्या पोरक्यांना सांगितले.,[INS: संदर्भ दरना बारामा] [रामकुमारनी त्याना पोरसले सांगं → रामकुमाराला त्याच्या पोरक्यांना सांगितले],d2.csv
D2,147.86,150.0,142.86,150.0,24,येक यापारी ब्यांक शे जी फकस्त ब्यांकना नावथीनच वयखतस,या बँकेला किती वेळ लागला आहे?,[INS: येक यापारी ब्यांक] [शे जी फकस्त ब्यांकना नावथीनच वयखतस → या बँकेला किती वेळ लागला आहे],d2.csv
D2,143.54,166.67,89.58,166.67,21,महेशनी चांगली समझदारीना मुळे फुलेसनी बजारम्हा आबिदेस ना फायदा लि लिदा,महेशाच्या चांगल्या समजुतीमुळे बाजारात फायदा होईल.,[INS: महेशनी चांगली समझदारीना मुळे] [फुलेसनी बजारम्हा आबिदेस ना → महेशाच्या चांगल्या समजुतीमुळे बाजारात] [INS: लि] [लिदा → होईल],d2.csv
D2,142.26,166.67,85.29,166.67,27,भारत सरकारनी पेट्रोल वरला कर कमी करी देल शे आशे आयकाले येल शे,भारत सरकार पेट्रोलवरील कर कमी करेल,[INS: सरकारनी] [पेट्रोल वरला → सरकार पेट्रोलवरील] [INS: करी देल शे आशे आयकाले येल] [शे → करेल],d2.csv
