dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D4,230.0,200.0,300.0,200.0,28,रेपसीडले रब्बी हंगामामंदीच काऊन पेरतात ?,कोण पेरतात?,[INS: रेपसीडले रब्बी हंगामामंदीच] [काऊन → कोण],d4.csv
D4,186.88,200.0,156.25,200.0,16,नरम पोळी येईन अस गवाचं वान कोनचं ?,कोणतं वान वापराव ?,[INS: नरम पोळी येईन अस] [गवाचं → कोणतं] [कोनचं → वापराव],d4.csv
D4,180.71,200.0,135.71,200.0,36,ओव्हर हार्वेस्टिंग म्हणजे ज्या दराने संसाधनांची कापणी टिकाऊ नसते,हार्वेस्टिंगचा दर टिकाऊ नसतो,[INS: ओव्हर हार्वेस्टिंग म्हणजे ज्या दराने] [संसाधनांची कापणी → हार्वेस्टिंगचा दर] [नसते → नसतो],d4.csv
D4,170.23,175.0,159.09,175.0,24,इजाइच्या कडकडाटाची बतावनी कोनचे मोबाईल ॲप देईन ?,कोणते मोबाइल ऐप द्यावे?,[INS: इजाइच्या कडकडाटाची बतावनी] [कोनचे मोबाईल ॲप देईन → कोणते मोबाइल ऐप द्यावे],d4.csv
D4,165.13,175.0,142.11,175.0,23,रब्बी अस खरीप हंगामात कोनचे पिकं घेता येईन ?,कोणते पीक घेता येईल?,[INS: रब्बी अस खरीप हंगामात] [कोनचे पिकं → कोणते पीक] [येईन → येईल],d4.csv
D4,161.11,200.0,70.37,200.0,14,मोबाईल वर बाजारसमिती चे भाव कशे माईत होईन ?,मोबाईलवर बाजारभाव कसे कळतील?,[INS: मोबाईल वर बाजारसमिती चे] [भाव कशे माईत होईन → मोबाईलवर बाजारभाव कसे कळतील],d4.csv
D4,157.65,200.0,58.82,200.0,3,के.वाय.सी कराच कोनचे कोनचे कागद लागते ?,केवायसीसाठी कोणते कागदपत्रे लागतात?,[INS: के वाय सी कराच] [कोनचे कोनचे कागद लागते → केवायसीसाठी कोणते कागदपत्रे लागतात],d4.csv
D4,157.44,166.67,135.9,166.67,29,प्रिंटींग पॅकेजिंग फिल्टर पेपर बुक टॉयलेट टिश्यूमध्ये कागदाचा वापर इ,कागदाचा वापर इतर साहित्यासाठी केला जातो,[INS: प्रिंटींग पॅकेजिंग फिल्टर पेपर] [बुक टॉयलेट टिश्यूमध्ये कागदाचा वापर इ → कागदाचा वापर इतर साहित्यासाठी केला जातो],d4.csv
D4,142.38,166.67,85.71,166.67,20,स्कॉलरशिप भेटासाठी मले खात खोलने गरजेचे हाय तर कुणाशी संपर्क करा लागन ?,स्कॉलरशिप मिळवण्यासाठी कोणाशी संपर्क साधावा लागेल?,[INS: भेटासाठी मले खात खोलने गरजेचे हाय] [तर कुणाशी → मिळवण्यासाठी कोणाशी] [करा लागन → साधावा लागेल],d4.csv
D4,141.79,175.0,64.29,175.0,11,के.वाय.सी करासाठी कोंते कोंते कागद लागन ?,केवायसीसाठी किती कागद लागतात?,[INS: के वाय सी करासाठी] [कोंते कोंते → केवायसीसाठी किती] [लागन → लागतात],d4.csv
