id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
16001,708641,D1,Agriculture,6.0,"पीचमध्ये विटामीन सी , के आणि ई असता","पीचमध्ये व्हिटॅमिन सी, के आणि ई असतात."
16002,713242,D2,Agriculture,6.5,जलवायु काॅफी शेती ना करता गरजना शे,जलवायु कॉफी शेती न करता गरजना शे
16003,707957,D1,Banking,6.0,यु.पी.आय ऍप वापरून खायचाव बील भरता येता,यु.पी.आय ऍप वापरून बिल भरता येते का?
16004,712616,D2,Banking,6.5,अमिषानी दोन लाख दिसन आपलं नवं घर खरीदी करं,अमिषानी दोन लाख रुपये घेऊन आपले नवीन घर खरेदी केले
16005,710268,D1,Banking,6.0,तु तुझ्या शाळेची किती फी भरलस ?,तुझ्या शाळेची किती फी भरली?
16006,713527,D2,Agriculture,6.5,मरसराईजडं कापूसनं कापड टिकाले भक्कम शे,कापूसने बनवलेले कापड भक्कम टिकले
16007,712417,D1,Banking,6.0,ऑनलाइन रिचार्ज फोनला करूक येता काय ?,ऑनलाइन रिचार्ज फोनला कसे करता येते?
16008,714532,D2,Agriculture,6.5,हर्बल टी पेवानी सवय शरीरले चांगली शे,हर्बल टीची सवय शरीरासाठी चांगली आहे.
16009,711507,D1,Agriculture,6.0,पिकांक खयले आजार व्हतत ?,पिकांवर आजार आले आहेत का?
16010,715152,D2,Agriculture,6.5,मोहायर फायबर टिकाऊ आणि मजबूत असते,मोहायर फायबर टिकाऊ आणि मजबूत असते
16011,711276,D1,Agriculture,6.0,मिरच्यांची किंमत किती आसा ?,मिरच्यांची किंमत किती आहे?
16012,714874,D2,Agriculture,6.5,कमलमची लागवड औषध आणि फळांसाठी केली जाते,कमलमची लागवड औषध आणि फळांसाठी केली जाते
16013,712448,D1,Banking,6.0,अल्प मुदतीसाठी पैशांची बचत कशी करतलव ?,अल्प मुदतीसाठी पैशांची बचत कशी करायची?
16014,718358,D2,Banking,6.5,मला उपलब्ध विमा पर्याय कसे पाहता येतील ?,मला उपलब्ध विमा पर्याय कसे पाहता येतील?
16015,711226,D1,Agriculture,6.0,खताचे कितके प्रकार असतत ?,खात्याचे किती प्रकार आहेत?
16016,717412,D2,Agriculture,6.5,शेती मोजण्याची किती साधने आहेत ?,शेती मोजण्यासाठी किती साधने आहेत?
16017,712357,D1,Banking,6.0,दुसऱ्या शहरात पैसे कसे पाठवूचे ?,दुसऱ्या शहरात पैसे कसे पाठवायचे?
16018,717952,D2,Banking,6.5,लवकर कर्ज पाहिजे आहे अर्ज कसा करु ऑनलाइन कि ऑफलाइन ?,"लवकर कर्ज हवे आहे, अर्ज कसा करावा ऑनलाइन की ऑफलाइन?"
16019,712499,D1,Banking,6.0,यू.पी.आय वर क्यू.आर कोड कसा स्कॅन करूचा ?,यूपीआय वर क्यूआर कोड कसा स्कॅन करायचा?
16020,717625,D2,Agriculture,6.5,शेती करण्याची योग्य पद्धत कोणती आहे ?,शेती करण्याची योग्य पद्धत कोणती आहे?
16021,711284,D1,Agriculture,6.0,ऑनलाईन काय ऑफलाईन मशीनी घेतलेले बरे आसतात ?,ऑनलाईन आणि ऑफलाईन मशीनी घेतलेली चांगल्या असतात का?
16022,718584,D2,Banking,6.5,मला गोल्ड बाँडसाठी अर्ज करता येईल का ?,मला गोल्ड बाँडसाठी अर्ज करता येईल का?
16023,709229,D1,Banking,6.0,हयते सगळे नगदी पैशे बॅन्केत भरून ये,सर्व रोख पैसे बँकेत भरून या
16024,718087,D2,Banking,6.5,बँकेची चिकण कशी व्यवस्थापित करावी ?,बँकेची समस्या कशी व्यवस्थापित करावी?
16025,708961,D1,Banking,6.0,"ठिक हा , बॅन्केत जाऊन फॉर्म भरान ये","ठीक आहे, बँकेत जाऊन फॉर्म भरा."
16026,714384,D2,Banking,6.5,बँकनं खातं काढाना करता के.वाय.सी करनच पडस,बँकमधून पैसे काढण्यासाठी के.वाय.सी कसे करायचे?
16027,711889,D1,Banking,6.0,शिल्लक राशी जमा आसत काय ता कसा बगायचा ?,शिल्लक रक्कम जमा आहे काय आणि ती कशी वापरायची?
16028,718030,D2,Banking,6.5,कर्जाचा हफ्त्याची तारीख काय आहे ?,कर्जाचा हफ्त्याची तारीख काय आहे?
16029,712221,D1,Banking,6.0,खैचे योजना केंद्र पुरस्कृत आसत ?,ख कोणत्या योजना केंद्र पुरस्कृत आहेत?
16030,718587,D2,Banking,6.5,युटिलिटी बिले ऑनलाईन भरता येतील का ?,युटिलिटी बिले ऑनलाईन भरता येतील का?
16031,712147,D1,Banking,6.0,के.वाय.सी अपडेट करुक किती खर्च येता ?,केवायसी अपडेट करायला किती खर्च येतो?
16032,718313,D2,Banking,6.5,डेबिट कार्डचा कालावधी किती असतो ?,डेबिट कार्डचा कालावधी किती असतो?
16033,710968,D1,Agriculture,6.0,रमेशचो बारीक लोकर बनवुचो व्यवसाय असा,रमेशचा छोटा व्यवसाय आहे.
16034,712670,D2,Banking,6.5,अमिषा तिना आर्थिक करीयरना करता मेहनत लेस,तिला आर्थिक करिअरसाठी मेहनत करावी लागते.
16035,708755,D1,Agriculture,6.0,उसाच्या शेतीक पाणी मोप लागता,ऊसशेतीमध्ये पाणी वाया जाते
16036,715776,D2,Banking,6.5,"पेन्शन , मृत्यूच्या दिवसा सह देय आहे",पेन्शन मृत्यूच्या दिवशी देय आहे
16037,709729,D1,Banking,6.0,"हा , काही कर्जा तू फोन पेन पण भरू शकतंस",हा काही कर्जे तू फोन पेन पण भरू शकतंस
16038,715841,D2,Agriculture,6.5,बदाम एक पानझडी झाड आहे आणि यामध्ये फळ लागतात,बदाम एक पानझडी झाड आहे आणि यामध्ये फळ लागतात
16039,706406,D1,Banking,6.0,एन.जी.ओ साधारणपणान ना नफा संस्था असता,एन.जी.ओ साधारणपणे नफा संस्था असतात
16040,718174,D2,Banking,6.5,हि रक्कम मला फिक्स डिपॉझिट करता येईल का ?,ही रक्कम मला फिक्स्ड डिपॉझिट करता येईल का?
16041,712139,D1,Banking,6.0,ग्राहक कर्ज योजनेचो विषय काय नक्की ?,ग्राहक कर्ज योजनेचा विषय काय नक्की?
16042,713801,D2,Agriculture,6.5,भारतमा पाऊस हाई मौसम वर आधारले शे,भारतात पाऊस आणि उच्च हवामान वर आधारले
