id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
1,725007,D1,Agriculture,35.5,सरकारान गव्हासाठी दिलेल्या किमान आधारभूत किंमती मुळे गव्हाचा उत्पादन जास्त घेण्यासाठी शेतकऱ्यांची पसंती असता,सरकारने गव्हासाठी दिलेल्या किमान आधारभूत किंमतीमुळे गव्हाचे उत्पादन जास्त घेण्यासाठी शेतकऱ्यांची पसंती असते.
4,712275,D1,Banking,33.31,"क्रेडिट कार्ड वरसून जास्तीत जास्त कितक्या कर्ज गावता , आणि डेबिट कार्ड वरसून जास्तीत जास्त कितके पैसे काढुक शकतू आम्ही ?","क्रेडिट कार्डवरून जास्तीत जास्त किती कर्ज मिळते, आणि डेबिट कार्डवरून जास्तीत जास्त किती पैसे काढू शकतो आम्ही?"
7,724970,D1,Agriculture,32.0,ब्लास्ट फिशिंग ह्या जवळपास उपलब्ध जाणाऱ्या सामानापासून बनलल्या डायना माईट पासून सहज आणि स्वस्तात केली जाता,ब्लास्ट फिशिंग जवळपास उपलब्ध असलेल्या सामानापासून डायना मीटपासून सहज आणि स्वस्तात केले जाते.
10,724991,D1,Banking,29.0,बऱ्याचदा काही गुंतवणूकदार जास्तीच्या रिटर्न्सच्या मोहापायी चुकिच्या पॉलिसी मध्ये तुमच्याकडना गुंतवणूक करवतत,बऱ्याचदा काही गुंतवणूकदार जास्त परताव्याच्या मोहपायी तुमच्या पॉलिसीमध्ये तुमचे गुंतवणूक करत आहेत
13,708504,D1,Banking,28.5,वस्तूची म्हायती सांगणाऱ्या लेबलावरून ती वस्तू शाकाहारींसाठी आसा काय मांसाहारींसाठी ता समाजता,वस्तूची माहिती सांगणाऱ्या लेबलावरून ती वस्तू शाकाहारींसाठी आहे की मांसाहारींसाठी समाजता
16,724834,D1,Banking,27.0,मार्क टू मार्केट म्हणजे वर्तमान बाजारभावावर आधारित मालमत्तेच्यो वाजवी मू्ल्य किंवा दायित्वासाठी लेखांकन करणा,मार्क टू मार्केट म्हणजे वर्तमान बाजारभावावर आधारित मालमत्तेचे वाजवी मूल्य किंवा दायित्वासाठी लेखांकन करणे
19,707560,D1,Banking,26.5,टॅरिफ कर ह्यो राजकीय सीमांच्या माध्यमांपासून मालाच्या हालचालीसाठी आकारण्यात येणारा शुल्क आसा,टॅरिफ हे राजकीय सीमांच्या माध्यमांपासून मालाच्या हालचालीसाठी आकारण्यात येणारा शुल्क आहे.
22,724988,D1,Banking,26.5,आर्थिक देवाण घेवाण आणि गुंतवणूकीतल्या नुकसानापासना वाचुचा असात तर वित्ताच्या खास गोष्टींची महिती गरजेची असता,आर्थिक देवाणघेवाण आणि गुंतवणुकीतील नफा-तोटा असेल तर वित्ताच्या खास गोष्टींची माहिती गरजेची असते.
25,710428,D1,Agriculture,26.0,लिली परिवार लिलीयासीच्या जडी बुटीच्या फुलांच्या झाडांच्या ऐंशीपेक्षा जास्त प्रजातींचो वंश असा,लिलीचे कुटुंब लिलीच्या प्रकारच्या फुलांच्या झाडांच्या ऐंशीपेक्षा जास्त प्रजातींचे वंश आहे.
28,724985,D1,Agriculture,26.0,कळपाच्या स्वास्थ्यासाठीची भुमिका त्या रोगांच्या प्रतिबंध आणि प्रबंधन अक्षमतांका नियंत्रित किंवा संपवूची हा,कळपाच्या आरोग्यासाठीची भूमिका त्या रोगांच्या प्रतिबंध आणि व्यवस्थापनातील अक्षमतांना नियंत्रित किंवा संपवूची आहे.
31,724850,D1,Banking,25.929,आंतरराष्ट्रीय किंवा देशांतर्गत प्रवास करतो वेळी प्रवास विमो तुमका कोणताही अनपेक्षित नुकसानापासून संरक्षण देता,आंतरराष्ट्रीय किंवा देशांतर्गत प्रवास करताना कोणताही अनपेक्षित नुकसानीपासून संरक्षण द्या.
34,724876,D1,Banking,25.441,मूळ रकमेत वेळोवेळी जमा झालेला व्याज मिळवून या रकमेवरील व्याजाची मोजणी केली जाता त्येकाच चक्रवाढ व्याज म्हनतत,"मूळ रकमेत वेळोवेळी जमा झालेला व्याज मिळवून या रकमेवरील व्याजाची मोजणी केली जाते, तसेच त्याचेच चक्रवाढ व्याज म्हणतात."
37,708834,D1,Agriculture,25.429,संक्रमणापासना वाचुचा असात नायतर कफाचो त्रास दूर करुचो असात तेच्यात गुलाबाच्या पानांचो उपयोग होता,"संक्रमणापासनाचा असात नाहीतर खूप त्रास दूर करायचा होता, तेच्यात गुलाबाच्या पानांचा उपयोग होता."
40,724835,D1,Banking,25.4,मार्केट रिस्क म्हणजे मार्केट व्हेरिएबल्समधल्या हालचालींमुळे उद्भवलेल्या पोझिशन्समधल्या नुकसानीचो धोको,मार्केट रिस्क म्हणजे मार्केट व्हेरिएबल्समधील हालचालींमुळे उद्भवलेल्या पोझिशन्समधल्या नुकसानीचा धोका
43,724875,D1,Agriculture,25.382,"मानवी वापरासाठी आणि उपभोगासाठी मांस , दूध , अंडी तसाच इतर शेतीच्या वापरासाठी जनावरांचा खताचो उपयोग होता","मानवी वापरासाठी आणि उपभोगासाठी मांस, दूध, अंडी तसाच इतर शेतीच्या वापरासाठी जनावरांचा उपयोग होता."
46,724965,D1,Banking,25.0,दोन बायकांका आपला एकत्र खाता उघडूच्यासाठी आपली ओळखपत्रा आणि पत्त्याची म्हायती बँकेच्या शाखेत जमा करुची असतत,दोन पत्नी आपले एकत्र खाते उघडण्यासाठी आपली ओळखपत्रे आणि पत्त्याची माहिती बँकेच्या शाखेत जमा करायची आहे.
49,724971,D1,Agriculture,24.933,"मगरांच्या शेतीत कायमेन पॉक्स , एडेनोवायरल हिपॅटायटीस , मायको प्लास्मोसिस आणि क्लेमायडिओसिस सारखे धोके आसतत","मगरांच्या शेतीत कोविड पॉक्स, ॲडेनोवायरल हेपेटायटिस, मायकोप्लास्मोसिस आणि क्लेमायडिओसिस सारखे धोके आहेत."
55,708675,D1,Agriculture,24.5,शेती आणि पशुधन उत्पादकांका इकुच्या आधी होणाऱ्या कृषि किंवा शेतीच्या कामांका प्रीहार्वेस्ट बोलतत,शेती आणि पशुधन उत्पादकांकाच्या आधी होणाऱ्या कृषी किंवा शेतीच्या कामांबद्दल प्रीहार्वेस्ट बोलत आहे.
58,724929,D1,Agriculture,24.5,अंतर्देशीय मत्स्यपालन ह्या मत्स्यशेती आसा झय माणसाच्या गरजेसाठी मासे टाक्या किंवा तलावांमध्ये वाढवले जातत,अंतर्देशीय मत्स्यपालन ह्या मत्स्यशेती माणसाच्या गरजेसाठी मासे टाक्या किंवा तलावांमध्ये वाढवले जाते.
61,724961,D1,Agriculture,24.5,खतातील नायट्रोजन गुंतागुंतीच्या प्रक्रियेतून ऊर्जेच्या निर्मितीसाठी हायड्रोजन ह्या वायूची पूर्तता होता,खतातील नायट्रोजन गुंतागुंतीच्या प्रक्रियेतून ऊर्जेच्या निर्मितीसाठी हायड्रोजन वायूची पूर्तता होते.
64,724925,D1,Banking,24.5,आर्थिक अर्थशास्त्र ह्या अर्थ शास्त्राची शाखा असा ज्या मौद्रिक क्रियाकलापांवर एकाग्रता द्वारा दर्शविला जाता,आर्थिक अर्थशास्त्र हे अर्थशास्त्राची शाखा आहे ज्यामध्ये मौद्रिक क्रियाकलापांवर एकाग्रताद्वारे दर्शविले जाते.
67,707097,D1,Banking,24.214,"स्थिर मालमत्ता , ज्याका दीर्घायुषी मालमत्ता , मूर्त मालमत्ता किंवा मालमत्ता अस सुद्धा म्हणतत","स्थिर मालमत्ता म्हणजे दीर्घायुषी मालमत्ता, मूर्त मालमत्ता किंवा मालमत्ता असेही म्हटले जाते."
70,710308,D1,Agriculture,24.0,पारंपारिक कृषी विकास योजनेच्या माध्यमातना शेतकऱ्यांका सेंद्रीय शेती करुसाठी प्रोत्साहित केला जाता,पारंपारिक कृषी विकास योजनेच्या माध्यमातून शेतकऱ्यांना सेंद्रीय शेती करण्यासाठी प्रोत्साहित केले जाते.
73,706737,D1,Banking,24.0,स्पॉट मार्केटात आर्थिक साधना किंवा वस्तूंची तात्काळ वितरणासाठी खरेदी विक्री केली जाता,स्पॉट मार्केटात आर्थिक साधना किंवा वस्तूंचे तात्काळ वितरणासाठी खरेदी-विक्री केले जाते.
