id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
2,714055,D2,Agriculture,40.0,देशना पुरा मासामारी उत्पादनपैकी सुमारे साठ एकर उत्पादन देशमझारला मासामारीमाथून येस,देशांत पूर्ण मासामारी उत्पादनपैकी सुमारे साठ एकर उत्पादन देशमझारला मासामारीमधून येते
5,712936,D2,Agriculture,32.429,सघन शेती आणि जास्तीनी जमीन यानामान सधन शेतीले जास्तिनी मेहनत आणि जास्तीना पैसा लागस,सघन शेती आणि जास्त जमीन यातून अधिक मेहनत आणि पैसा लागतो
8,724777,D2,Agriculture,31.5,भारतात मत्स्य व्यावसायिक क्षेत्राचा विकास छोट्या मासेमारांना तंत्रज्ञानाने प्रबळ करण्यासाठी निर्भर करत,भारतात मत्स्य व्यावसायिक क्षेत्राचा विकास छोट्या मासेमारांना तंत्रज्ञानाने प्रबळ करण्यासाठी अवलंबून आहे
11,717908,D2,Agriculture,30.941,कोणत्या पिकावर जास्तीत जास्त विम्याची रक्कम मिळू शकते ? पिकासोबत मी माझा विमा काढू शकतो का ?,कोणत्या पिकावर जास्तीत जास्त विम्याची रक्कम मिळू शकते? पिकासोबत मी माझा विमा काढू शकतो का?
14,713533,D2,Agriculture,30.933,"दुन्याभरमा गनज लोकेस्ना आहार मासा शेतस , येक मानूस कितला किलो मासा खास व्हयी ?","जगभरात अनेक लोकांचे अन्न मासे असते, एक व्यक्ती किती किलो मासे खात असेल?"
17,724664,D2,Banking,30.0,माझ्या खात्यात शिल्लक नसेल आणि सहा महिन्यांपासून खात्याचा वापर झाला नसल्यास मिळालेल्या कर्जातून पैसे कपात होतील का ?,माझ्या खात्यात शिल्लक नसेल आणि सहा महिन्यांपासून खात्याचा वापर झाला नसल्यास मिळालेल्या कर्जातून पैसे कपात होतील का?
20,712589,D2,Agriculture,29.75,"मासोई पालन मान , मासा , झिंगा , खेकडा , मोलस्क , जेलीमासा ह्या भी येतेस","मासेपालन, मासे, झिंगा, खेकडा, मोलस्क, जेलीमासा हे देखील येतात."
23,716504,D2,Agriculture,29.5,सुरुवातीच्या मासेमारीच्या जहाजांमध्ये झाडाच्या सालापासून बनवलेल्या तराफ्यांचा समावेश होता,सुरुवातीच्या मासेमारीच्या जहाजांमध्ये झाडाच्या सालापासून बनवलेल्या तराफ्यांचा समावेश होता
26,716451,D2,Agriculture,29.0,मासेमारी हे प्राचीन काळापासून मानवाचे सर्वात जुने काम मानले जाते,मासेमारी हे प्राचीन काळापासून मानवाचे सर्वात जुने काम मानले जाते
29,724666,D2,Banking,29.0,"पेमेंट करताना माझ्या खात्यातून पैसे कमी तर झाले आहेत मात्र समोरील व्यक्तीला बिल मिळालेले नाही , अशा स्थितीत काय करावे ?","पेमेंट करताना माझ्या खात्यातून पैसे कमी झाले आहेत, मात्र समोरच्या व्यक्तीला बिल मिळालेले नाही, अशा स्थितीत काय करावे?"
32,724755,D2,Agriculture,28.429,एल.पी.जी आधीपासूनच बायोमास आणि कचऱ्यापासून उत्पादित झालेल्या अक्षय एल.पी.जी चे उत्पादन करण्याची इच्छा होती,एल.पी.जी. आधीपासूनच बायोमास आणि कचऱ्यापासून उत्पादित झालेल्या अक्षय एल.पी.जी. चे उत्पादन करण्याची इच्छा होती
35,724771,D2,Agriculture,28.429,पिक प्रजातींच्या सर्वोत्कृष्ट विकासासाठी शेतीच्या माती मध्ये खूप आम्लं किंवा माती खुप क्षारयुक्त असते,पीक प्रजातींच्या सर्वोत्तम विकासासाठी शेतीच्या मातीमध्ये खूप आम्ल किंवा माती खूप क्षारयुक्त असते.
