id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
1001,715618,D2,Banking,19.5,"ट्रांजेक्शन ची लिमिट सेट केल्याने , जास्त पैशांचा वापर करण्यामध्ये अडथळा येतो",ट्रान्झॅक्शनची मर्यादा सेट केल्यामुळे जास्त पैशांचा वापर करण्यामध्ये अडथळा येतो.
1002,724389,D4,Banking,19.0,भविष्य निर्वाह निधीचा उद्देश कर्मचाऱ्यांना नोकरीच्या ठिकाणाहून बाहेर पडताना एकरकमी पेमेंट प्रदान करणे आहे,भविष्य निर्वाह निधीचा उद्देश कर्मचाऱ्यांना नोकरीच्या ठिकाणाहून बाहेर पडताना एकरकमी पेमेंट प्रदान करणे आहे
1003,712075,D1,Banking,19.429,माका तुमच्या बँकेचा क्रेडिट कार्ड किंवा डेबिट कार्ड घेऊचा असल्यास काय करूचा लागताला ?,मला तुमच्या बँकेचा क्रेडिट कार्ड किंवा डेबिट कार्ड घ्यायचे असल्यास काय करावे लागेल?
1004,718603,D2,Banking,19.5,यू.पी.आय द्वारे व्यक्ती किंवा संस्थेला पैसे देण्याच्या पद्धतींबाबत माहिती हवी आहे,यू.पी.आय द्वारे व्यक्ती किंवा संस्थेला पैसे देण्याच्या पद्धतींबाबत माहिती हवी आहे
1005,724409,D4,Agriculture,19.0,"लहान डेअरी फार्ममध्ये ज्यामध्ये दुधाळ प्राण्यांची संख्या शंभरपेक्षा कमी असते , तेथे पाईपलाईन्स उभ्या करतात","लहान डेअरी फार्ममध्ये जिथे दुधाळ प्राण्यांची संख्या शंभरपेक्षा कमी असते, तिथे पाईपलाईन्स उभ्या करतात."
1006,706626,D1,Banking,19.429,कर आकारणीचो दुष्परिणाम आणि कर कसा सर्वोत्तम करायचा याविषयीचो सिद्धांत ह्या सूक्ष्म अर्थशास्त्रात असा,कर आकारणीचे दुष्परिणाम आणि कर कसा सर्वोत्तम करायचा याविषयीचे सिद्धांत ह्या सूक्ष्म अर्थशास्त्रात आहेत.
1007,717905,D2,Agriculture,19.5,शासनाच्या योजनेचा फायदा घेण्यासाठी माझ्याकडे साधारण किती एकर जमीन असणे गरजेचे आहे ?,शासनाच्या योजनेचा फायदा घेण्यासाठी माझ्याकडे साधारण किती एकर जमीन असणे गरजेचे आहे?
1008,724417,D4,Banking,19.0,"बँक व्यवस्था सांगितले की , पंतप्रधान जीवन ज्योती बिमा योजना नेतृत्वात विमा व्यक्ती मृत्यूवर दोन लाख मीडते","बँक व्यवस्था म्हणाले की, पंतप्रधान जीवन ज्योती विमा योजनेअंतर्गत व्यक्तीच्या मृत्यूवर दोन लाख मिळते."
1009,706684,D1,Banking,19.423,अपघाती विमो ह्यो निष्काळजी कृत्यो किंवा चुकांसाठी व्यक्ती किंवा संस्थेचो दायित्व कव्हरेज असा,अपघाती किंवा निष्काळजी कृत्यांसाठी व्यक्ती किंवा संस्थेचे दायित्व कव्हरेज आहे
1010,716849,D2,Agriculture,19.5,समुद्र आणि नद्या मुबलक असल्यामुळे भारतात मासेमारी अधिक केली जाते,समुद्र आणि नद्या मुबलक असल्यामुळे भारतात मासेमारी अधिक केली जाते
