dialect_text,standard_text,dialect
"मनाले कापूस पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","मला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"संत्रा पिकावर रोग पडना शेतस, कठे औषध भेटन?","संत्रा पिकावर रोग पडला आहे, कुठे औषध मिळेल?",D2
"गनज लोक कांदे पिकाले लागन, तुनाले कोणी कांदे खातो?","पुष्कळ लोक कांदे पिकवितात, तुला कोणी कांदे खातो?",D2
फुलांची गुलाबी झाड कसे वाढवन शेतस?,गुलाबी फुलांची झाड कसे वाढवायची आहे?,D2
"खास काय शेती करणं शेतस, मनाले काय पिकाले काढन?","खात असेल काय शेती करणे आहे, मला काय पिकायला येते?",D2
कापूस पिकांना कोणती रासायनिक सामग्री देवन शेतस?,कापूस पिकाला कोणती रासायनिक सामग्री द्यावी लागते?,D2
तुनाले कोणत्या फळांचे झाड वाढवणं शेतस?,तुला कोणत्या फळांचे झाड वाढवायचे आहे?,D2
"मनाले कशी शेती केली पाहिजे शेतस, गनज लोक कशी पिकवितात?","मला शेती कशी केली पाहिजे आहे, पुष्कळ लोक कशी पिकवतात?",D2
कापूस पिकांना सापडणारे कोणते रोग शेतस?,कापूस पिकांना कोणते रोग होऊ शकते?,D2
"विहीरमा पाणी कितलं शेतस, मनाले किती पाणी पिकांना देवन?","विहिरीत पाणी किती आहे, मला पिकांना किती पाणी द्यावे लागते?",D2
"मनाले शेतस फिरवून भाज्या खास, तुनाले कशी शेतस?","मला शेतात फिरवल्याने भाज्या खात आहे, तुला कसा आहे?",D2
"गनज गाय शेतस, ते फळ खास?","अनेक गाय शेतात आहेत, ते फळ खात आहे?",D2
"शेतकऱ्याचे मोबाईल सुरू नसले शेतस, कठे भेटन?",शेतकऱ्याचे मोबाइल सुरू नसल्याने मिळेल कुठे?,D2
"तळी मिरची पिकाली पाणी शेतस, सातवाडी पाणी कितलं?","तळीत मिरची पिकाला पाणी द्यायचे आहे, सातवाडीत पाणी किती आहे?",D2
खाण्यासाठी शेतात जाणारे मनाले किती शेतस?,खाण्यासाठी शेतात जाणारे मला किती आहेत?,D2
"बैलाच्या शेतावर दूध शेतस, ते दूध खास?","बैलाच्या शेतावर दूध आहे, ते दूध खात आहे?",D2
"काही शेतकऱ्यांना शेतात काम करण्यास शेतस, तो काम लागन?",काही शेतकऱ्यांना शेतात काम करण्यासाठी मिळेल काम कुठे?,D2
"शेतात गवडी शेतस, ते गवडी कठे?","शेतात गवडी आहे, ते गवडी कुठे आहे?",D2
शेतात बांधवा पिकवणारे तुनाले किती शेतस?,शेतात बांधवा पीक वाहत मला किती आहेत?,D2
"शेतात जाणारे मनाले किती शेतस, पाण्याची खात्री करणारे?","शेतात जाणारे मला किती आहेत, पाण्याची खात्री करणारे?",D2
"मनाले भाताला उरमी देवाले शेतस, तुनाले कितलं देवाले?","मला भाताला उरमी द्यायचे आहे, तुला किती द्यायचे आहे?",D2
"गनज तळी वाळवंटात पिकाले शेतस, भेटने कोणत्या किती पाणी शेतस?","पुष्कळ तळी वाळवंटात पिकवल्या आहेत, कुठे कित्येक पानी मिळेल?",D2
"खास तळ्यावर बियाणे पेरले शेतस, तुनाले वाढवले कितलं शेतस?","मी तळ्यावर बियाणे पेरले आहे, तुला वाढवले किती आहे?",D2
"कृषी शेतकऱ्यांना क्रेडिट कार्ड भेटन, तुनाले कितलं पैसे शेतस?","कृषी शेतकऱ्यांना क्रेडिट कार्ड मिळेल, तुला किती पैसे मिळेल?",D2
"शेतकऱ्यांना कितलं क्षेत्रफळ भेटन, मनाले किती पिकाले पाणी शेतस?","शेतकऱ्यांना किती क्षेत्रफळ मिळेल, मला किती पिकाले पाणी शेतस?",D2
"संत्रा पिकावर रोग पडना शेतस, तुनाले कितलं औषध शेतस?","संत्रा पिकावर रोग पडला आहे, तुला किती औषध आहे?",D2
"खास शेतकऱ्यांना कितलं पैसे शेतस, मनाले पिकाले पाणी शेतस?","मी शेतकऱ्यांना किती पैसे दिले आहे, मला पिकाले पाणी शेतस?",D2
"गनज शेतकऱ्यांना कितलं भेटन, तुनाले कितलं पिकाले शेतस?","पुष्कळ शेतकऱ्यांना किती मिळेल, तुला किती पिकाले आहे?",D2
"खास शेतकऱ्यांना कितलं पिकाले शेतस, मनाले कितलं पैसे शेतस?","मी शेतकऱ्यांना किती पिकाले दिले आहे, मला किती पैसे शेतस?",D2
"सकाळी शेतात जाणे शेतस, तुनाले कितलं पिकाले शेतस?","सकाळी शेतात जाणे आहे, तुला किती पिकाले आहे?",D2
"मनाले पिकाले उभयार शेतस, किती दिवस शेतस?","मला पिकाला उभयार आहे, किती दिवस असते?",D2
"गनज फळांचे पीक शेतस, किती दिवस शेतस?","पुष्कळ फळांचे पीक असते, किती दिवस असते?",D2
खातो गहू पिकाले कितलं पाणी शेतस?,"खातो गहू पिकाला पाणी द्यायचे आहे, किती पाणी असते?",D2
तुनाले शेतात जाऊन कोणत्या फळांचे पीक शेतस?,तुला शेतात जाऊन कोणत्या फळांचे पीक असते?,D2
मनाले मोहरी पिकाले किती दिवस शेतस?,मला मोहरी पिकाला किती दिवस असते?,D2
शेतस मावळलेले पीक साऱ्या शेतात शेतस?,पीक मावळलेले साऱ्या शेतात असते?,D2
गावातील सर्व शेतकऱ्यांना ज्या पिकाचे कितलं बाजारात मिळेल शेतस?,गावातील सर्व शेतकऱ्यांना ज्या पिकाचे किती बाजारात मिळेल?,D2
कठे शेतात जाऊन कोणत्या फळांचे पीक शेतस?,कुठे शेतात जाऊन कोणत्या फळांचे पीक असते?,D2
करस शेताला पाणी देण्याची किती दिवस शेतस?,करतो शेताला पाणी देण्याची किती दिवस असते?,D2
"मनाले शेतातील पीक शेतस, ते बाजारात किती मिळेल?","मला शेतातील पीक असते, ते बाजारात किती मिळेल?",D2
"मनाले कापूस पिकाले पाणी देवाले शेतस, जाड्याला पाणी करस?","मला कापूस पिकाला पाणी द्यायचे आहे, जाड्याला पाणी किती करते?",D2
"संत्रा पिकावर रोग पडना शेतस, कठे काढलेला कीटनाशक भेटन?","संत्रा पिकावर रोग पडला आहे, कुठे काढलेला कीटनाशक मिळेल?",D2
"गनज शेतकऱ्यांनी गावात कोळसा शेतस, कुठे बाजार गेला?","पुष्कळ शेतकऱ्यांनी गावात कोळसा पीक केले आहे, कुठे बाजार गेला?",D2
असेल शेतावर किंमतीला गोळा करणारे शेतकऱ्यांचा गोतावळा शेतस,असलेले शेतावर किंमतीला गोळा करणाऱ्या शेतकऱ्यांचा गोतावळा आहे,D2
"गावाच्या पाण्याच्या विहीरी संपली शेतस, कठे पाणी भरायला भेटन?","गावाच्या पाण्याच्या विहीरी संपली आहे, कुठे पाणी भरायला मिळेल?",D2
"मनाले शेतमालाची किंमत गेली शेतस, कठे क्रेडिट कार्ड भरायला भेटन?","मला शेतमालाची किंमत गेली आहे, कुठे क्रेडिट कार्ड भरायला मिळेल?",D2
