key,dialect,domain,gender,divergence_score,wer_percentage,cer_percentage,standard_oov_ratio,original_transcript,normalized_standard_output,wav_path
IISc_RESPIN_mr_D2_71728_422004_M_BANK_712605_71193383,D2,Banking,MALE,72.49,71.43,51.16,100.0,कर्जलेवावर गहाण ठेयेल मालमत्ता ईकता नयी येस,कर्जासाठी गहाण ठेवण्यासाठी मालमत्ता नये का?,D2/71728/IISc_RESPIN_mr_D2_71728_422004_M_BANK_712605_71193383.wav
IISc_RESPIN_mr_D2_70987_422004_F_AGRI_713404_71015409,D2,Agriculture,FEMALE,69.28,75.0,35.09,100.0,शेतीना अवजारेस्नं परदरशन मांडं तवय त्यास्नी ईक्री वाढी,"शेतीसाठी अवजारे परदरशन मांडले, त्यामुळे त्याची ईक्री वाढते.",D2/70987/IISc_RESPIN_mr_D2_70987_422004_F_AGRI_713404_71015409.wav
IISc_RESPIN_mr_D2_71422_422008_F_BANK_712643_70800629,D2,Banking,FEMALE,66.28,77.78,30.19,88.89,भारतमा परतेक राज्यनी वरीसनं उतपननी वाढ आल्लग आल्लग शे,भारतात परतेक राज्याची वरीसने उतपनाची वाढ आली आहे.,D2/71422/IISc_RESPIN_mr_D2_71422_422008_F_BANK_712643_70800629.wav
IISc_RESPIN_mr_D2_70429_400604_M_BANK_713241_70484564,D2,Banking,MALE,65.59,66.67,35.29,100.0,फोन पे वर मनी गनच बीमा करी ठेल शेत,फोनवर मनी गनच बीमा करायची आहे,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_BANK_713241_70484564.wav
IISc_RESPIN_mr_D2_71439_422004_F_AGRI_714358_70783193,D2,Agriculture,FEMALE,63.91,66.67,48.21,77.78,फळे देनारा झाडेस्ले शेतकरी जमीनना आंदाज लीसनी काटछाट करस,फळे देण्याच्या झाडांना शेतकरी जमीनचे आंदाज काढले जाते.,D2/71439/IISc_RESPIN_mr_D2_71439_422004_F_AGRI_714358_70783193.wav
IISc_RESPIN_mr_D2_71424_422004_F_AGRI_714308_70800747,D2,Agriculture,FEMALE,63.34,66.67,37.04,88.89,भोपयाना भाजीना वापर रायता लोणचं खीर बनाडाना करता करतंस,भोपयाना भाजीना वापरून लोणचे खीर बनवण्यासाठी करत आहेत,D2/71424/IISc_RESPIN_mr_D2_71424_422004_F_AGRI_714308_70800747.wav
IISc_RESPIN_mr_D2_72469_422012_M_AGRI_713081_71247384,D2,Agriculture,MALE,62.53,71.43,17.95,100.0,पानी ना स्त्रोत पुरवठाना करता उपेग पडतस,पानीचा स्त्रोत पुरवठा करता उपयोग पडतो,D2/72469/IISc_RESPIN_mr_D2_72469_422012_M_AGRI_713081_71247384.wav
IISc_RESPIN_mr_D2_70795_422005_F_AGRI_713751_70584829,D2,Agriculture,FEMALE,62.11,57.14,38.0,100.0,तांदूळ ना मुरमुरा वासीन रोगप्रतिकारक क्षमता सुधारस,तांदूळ रोगप्रतिकारक क्षमता सुधारते,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_AGRI_713751_70584829.wav
IISc_RESPIN_mr_D2_72455_NA_M_BANK_714341_71238753,D2,Banking,MALE,62.1,63.64,50.94,72.73,पी.पी.एफ मझार जमा करेल पैसा हायातीमा काढता येतसका नैत ?,पी.पी.एफ. मध्ये पैसे काढता येतात का?,D2/72455/IISc_RESPIN_mr_D2_72455_NA_M_BANK_714341_71238753.wav
IISc_RESPIN_mr_D2_70795_422005_F_BANK_714510_70583312,D2,Banking,FEMALE,62.0,60.0,33.33,100.0,सरकार पायाभूत ठिकाणे विकास करानी करता करना वर उपकरबी लावस,सरकार पायाभूत ठिकाणे विकास करण्यासाठी उपकरणे लावतात,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_BANK_714510_70583312.wav
